1|2
1|3
1|5
1|4
2|10
2|7
2|8
2|9
3|12
3|13
3|14
3|15
4|20
4|17
4|18
4|19
5|22
5|23
5|24
5|25
6|27
6|28
6|29
6|30
6|31
7|33
7|34
7|35
7|36
8|40
8|41
8|38
8|39
9|43
9|44
9|45
9|46
10|48
10|49
10|50
10|51
11|53
11|54
11|55
11|56
12|58
12|59
12|60
12|61
13|63
13|64
13|65
13|66
14|44
14|68
14|69
14|70
14|71
15|73
15|74
15|75
15|76
16|78
16|79
16|80
16|27
17|82
17|83
17|84
17|85
18|87
18|88
18|89
18|90
19|92
19|93
19|94
19|95
20|97
20|98
20|99
20|100
21|102
21|103
21|104
21|105
22|107
22|108
22|109
22|110
23|112
23|113
23|114
23|115
24|117
24|118
24|119
24|120
25|122
25|123
25|124
25|125
26|127
26|128
26|129
26|130
27|132
27|133
27|134
27|135
31|138
31|139
31|140
31|141
32|143
32|144
32|145
32|146
33|148
33|29
33|149
33|150
34|152
34|153
34|154
34|155
35|158
35|159
35|84
35|157
36|43
36|161
36|162
36|163
37|165
37|166
37|167
37|168
38|170
38|171
38|172
38|173
39|175
39|176
39|177
39|178
40|180
40|181
40|182
40|183
41|185
41|186
41|187
41|56
42|189
42|190
42|191
42|192
43|186
43|194
43|195
43|196
44|198
44|199
44|200
44|201
46|203
46|204
46|205
46|206
48|208
48|209
48|210
48|211
49|213
49|214
49|215
49|216
50|218
50|219
50|220
50|221
51|223
51|224
51|225
51|226
52|228
52|227
52|229
52|230
52|231
53|233
53|234
53|235
53|236
54|170
54|238
54|239
54|240
55|242
55|243
55|244
55|245
56|247
56|248
56|249
56|250
56|251
57|186
57|253
57|203
57|109
60|255
60|256
60|257
60|258
61|69
61|260
61|261
61|262
62|264
62|265
62|266
62|267
63|269
63|270
63|271
63|272
64|274
64|275
64|276
64|277
65|279
65|280
65|281
65|282
66|284
66|285
66|286
66|287
67|289
67|290
67|291
67|292
69|294
69|295
69|192
69|296
69|297
70|299
70|300
70|301
70|302
71|306
71|307
71|304
71|305
72|309
72|310
72|311
72|312
73|314
73|315
73|316
73|317
74|319
74|320
74|321
74|322
75|324
75|325
75|326
75|327
76|329
76|330
76|331
76|332
77|334
77|335
77|336
77|337
78|338
78|339
78|340
78|341
79|343
79|344
79|345
79|346
84|348
84|349
84|350
84|351
86|353
86|354
86|355
86|356
87|358
87|359
87|360
87|361
88|363
88|30
88|364
88|365
89|367
89|368
89|369
89|370
90|372
90|373
90|374
90|375
92|377
92|378
92|379
92|380
93|382
93|383
93|384
93|17
94|386
94|387
94|388
94|389
95|391
95|320
95|104
95|392
96|393
96|394
96|395
96|396
98|397
98|398
98|399
98|400
99|401
100|403
100|404
100|291
100|66
101|406
101|407
101|408
101|409
102|411
102|412
102|413
102|414
103|416
103|417
103|306
103|418
104|306
104|420
104|421
104|422
105|423
105|424
105|425
105|426
107|428
107|429
107|430
107|431
109|43
109|433
109|434
109|435
110|208
110|436
110|437
110|438
111|440
111|27
111|441
111|442
111|443
113|445
113|446
113|426
113|447
114|449
114|450
114|451
114|205
117|454
117|455
117|456
117|457
118|458
118|459
118|460
118|461
119|463
119|464
119|465
119|466
120|468
120|469
120|470
120|471
122|473
122|383
122|470
122|474
126|476
126|477
126|478
126|479
130|481
130|482
130|483
130|484
131|219
131|486
131|487
131|488
132|490
132|491
132|220
132|418
133|493
133|494
133|495
133|496
135|499
135|500
135|501
135|389
136|503
137|505
137|506
137|507
137|508
138|510
